Name,State,Type,Residential customers,Revenue,Power generated,Power bought,Power in,Summer demand,Winter demand
Village of Rouses Point - (NY),NY,Municipal,1124,2439.4,0.0,77636.0,77636.0,10.2,15.3
Runestone Electric Assn,MN,Cooperative,13288,27309.9,0.0,223722.0,223722.0,37.8,36.6
"Rural Electric Coop, Inc",OK,Cooperative,8505,34552.0,0.0,405289.0,405289.0,65.6,75.4
City of Rupert - (ID),ID,Municipal,2593,5298.2,0.0,82236.0,82236.0,11.9,17.8
Rural Electric Conven Coop,IL,Cooperative,5475,14984.6,0.0,112962.0,112962.0,24.4,23.5
City of Russellville - (AL),AL,Municipal,3906,15730.3,0.0,143814.0,143814.0,29.6,26.8
Pitt & Greene Elec Member Corp,NC,Cooperative,7307,22464.3,0.0,204121.0,204121.0,45.2,47.1
Pee Dee Electric Member Corp,NC,Cooperative,19169,43979.1,0.0,401932.0,401932.0,90.3,97.7
City of Russellville - (KY),KY,Municipal,3223,12281.7,0.0,131680.0,131680.0,28.2,22.1
City of Ruston - (LA),LA,Municipal,8751,8345.0,0.0,273304.0,273304.0,64.0,46.0
Sac-Osage Electric Coop Inc,MO,Cooperative,10394,17649.0,0.0,144432.0,144432.0,38.0,43.0
Pemiscot-Dunklin Elec Coop Inc,MO,Cooperative,5653,18624.0,0.0,161307.0,161307.0,51.2,36.8
Rolling Hills Electric Coop,KS,Cooperative,8781,23501.0,0.0,175953.0,175953.0,42.7,33.4
City of Pierce - (NE),NE,Municipal,985,1856.0,0.0,20644.0,20644.0,5.0,4.0
Reedsburg Utility Comm,WI,Municipal,4286,23979.9,0.0,251201.0,251201.0,45.4,40.7
Red River Valley Rrl Elec Assn,OK,Cooperative,14295,33919.0,0.0,403337.0,403337.0,76.0,102.0
Pike County Light & Power Co,NY,Investor Owned,3833,15017.0,0.0,77573.0,77573.0,16.0,15.0
Electrical Dist No4 Pinal County,AZ,Political Subdivision,1525,12118.0,0.0,204479.0,204479.0,48.0,36.0
"Pioneer Rural Elec Coop, Inc - (OH)",OH,Cooperative,15676,68678.4,0.0,667209.0,667209.0,119.6,108.6
Pierce-Pepin Coop Services,WI,Cooperative,7163,16841.0,0.0,123233.0,123233.0,23.7,27.2
Town of Pineville - (NC),NC,Municipal,2680,11436.0,0.0,112471.0,112471.0,26.0,18.0
Pioneer Power and Light Co,WI,Investor Owned,1997,3843.0,0.0,33117.0,33117.0,7.0,5.0
Pickwick Electric Coop,TN,Cooperative,16400,42727.1,0.0,372301.0,372301.0,85.4,105.5
Plateau Electric Cooperative,TN,Cooperative,13766,36173.7,0.0,311525.0,311525.0,68.0,59.5
City of Plattsburgh - (NY),NY,Municipal,8701,18042.0,0.0,499950.0,499950.0,51.0,116.9
City of Plymouth - (WI),WI,Municipal,7047,24485.8,0.0,257834.0,257834.0,47.3,38.1
Pointe Coupee Elec Member Corp,LA,Cooperative,8316,22246.0,0.0,227765.0,227765.0,50.4,40.8
Polk County Rural Pub Pwr Dist,NE,Political Subdivision,2866,13128.4,0.0,112314.0,112314.0,42.1,21.1
City of Philadelphia - (MS),MS,Municipal,2757,11996.9,0.0,124872.0,124872.0,26.4,21.6
City of Ponca City - (OK),OK,Municipal,13852,38350.0,0.0,354132.0,354132.0,92.6,52.7
Pontotoc Electric Power Assn,MS,Cooperative,15221,47009.6,0.0,437544.0,437544.0,101.1,88.8
City of Port Angeles - (WA),WA,Municipal,9797,25080.0,0.0,306308.0,306308.0,34.9,106.8
Prague Public Works Authority,OK,Municipal,1091,2128.6,0.0,21881.0,21881.0,6.3,3.6
Rayle Electric Membership Corp,GA,Cooperative,15567,35651.0,0.0,268269.0,268269.0,62.3,69.0
Ralls County Electric Coop,MO,Cooperative,5440,14126.0,0.0,104554.0,104554.0,26.5,26.6
City of Petoskey - (MI),MI,Municipal,4417,10982.0,0.0,105538.0,105538.0,20.5,16.8
City of Radford - (VA),VA,Municipal,6529,18936.0,0.0,178609.0,178609.0,32.4,37.1
Borough of Quakertown - (PA),PA,Municipal,4553,10733.0,0.0,92516.0,92516.0,18.5,17.6
City of Pulaski - (TN),TN,Municipal,11878,45843.5,0.0,464630.0,464630.0,90.0,92.4
Redwood Electric Coop,MN,Cooperative,3689,14858.0,0.0,137399.0,137399.0,22.7,23.9
City of Pryor - (OK),OK,Municipal,3839,7938.0,0.0,98485.0,98485.0,29.0,13.0
City of Princeton - (KY),KY,Municipal,2965,14527.0,0.0,113853.0,113853.0,25.7,17.0
Price Electric Coop Inc,WI,Cooperative,8825,12647.2,0.0,72173.0,72173.0,12.3,16.3
